userType,firstName,lastName,email,cellphone
ASSOCIATION_OFFICIAL,Vinnie D,Bhengu,tommh@sowerfour.com,+27957950008
MARSHAL,Bobby,van der Merwe,bobvdm@sowerfour.com,+27957950009
OWNER,Sammy,Jackson,sammyj@sowerfour.com,+27957950010
DRIVER,Axeman,Maluleke,axeman@sowerfour.com,+27957950011
AMBASSADOR,Redi,Baloyi,zelreddam@sowerfour.com,+27957950012
ROUTE_BUILDER,Bob,Ngobeni,bobng@sowerfour.com,+27957950013
ADMINISTRATOR_ASSOCIATION,Peter,Hlubi,peterh@sowerfour.com,+27957950014
DRIVER,broderick,Shibambu,brod@sowerfour.com,+27957950021
AMBASSADOR,Maria B,Maluleke,maria@sowerfour.com,+27957950022
DRIVER,Venus,White,venus@sowerfour.com,+27957950023
AMBASSADOR,Peter,Noriega,peterno@sowerfour.com,+27957950024
OWNER,Truth,Konyane,truth@sowerfour.com,+27957950025
OWNER,Innocent,Mthombeni,inno@sowerfour.com,+2795795026
AMBASSADOR,Roger,Maluleke,roger@sowerfour.com,+27957950027
AMBASSADOR,Vonn,Maluleke,vonn@sowerfour.com,+27957950028
AMBASSADOR,Noliga,Bloom,noliga@sowerfour.com,+27957950029
