ownerName,vehicleReg,model,make,year,passengerCapacity
Ntombi  Msibi,FHN 54 GP,Quantum,Toyota,2024,16
Ntombi  Msibi,FKH 77 GP,Quantum,Toyota,2022,16
Ntombi  Msibi,RFH 21 GP,Quantum,Toyota,2022,16
Ntombi  Msibi,FTG 24 GP,Quantum,Toyota,2023,16
Qinny Marule,RHM 61 GP,Quantum,Toyota,2020,16
Dorianne Jensen-Fred,GCH 58 GP,Quantum,Toyota,2018,16
Giorgio P Ferreira,GHN 68 GP,Quantum,Toyota,2014,16
Kelly Hunter,GHD 55 GP,Quantum,Toyota,2019,16
Prianka S. Jones,GMM 33 GP,Quantum,Toyota,2019,16
Bobby T Maluleke,DST 80 GP,Quantum,Toyota,2024,16
Bobby T Maluleke,DST 82 GP,Quantum,Toyota,2024,16
Bobby T Maluleke,DST 83 GP,Quantum,Toyota,2024,16
Bobby T Maluleke,DST 84 GP,Quantum,Toyota,2024,16
Bobby T Maluleke,DST 85 GP,Quantum,Toyota,2024,16
Bobby T Maluleke,DST 81 GP,Quantum,Toyota,2024,16
Henrietta Fiona Smith,PBB 88 GP,Quantum,Toyota,2024,16
Henrietta Fiona Smith,QBD 32 GP,Quantum,Toyota,2024,16
Kelly Hunter,PVD 35 GP,Quantum,Toyota,2022,16
